name,name1,weight
강창일,이인영,1-10 / 222건
강창일,이종걸,1-10 / 768건
강창일,이찬열,1-10 / 202건
강창일,이춘석,1-10 / 332건
강창일,이학영,1-10 / 115건
강창일,이해찬,1-10 / 199건
강창일,인재근,1-10 / 111건
강창일,임내현,1-10 / 106건
강창일,임수경,1-10 / 402건
강창일,장병완,1-10 / 304건
강창일,장하나,1-10 / 494건
강창일,전병헌,1-10 / 360건
강창일,전순옥,1-10 / 228건
강창일,전정희,1-10 / 287건
강창일,전해철,1-10 / 127건
강창일,정성호,1-10 / 459건
강창일,정세균,1-10 / 558건
강창일,정청래,"1-10 / 1,004건"
강창일,정호준,1-10 / 160건
강창일,조경태,1-10 / 349건
강창일,조정식,1-10 / 285건
강창일,주승용,"1-10 / 1,188건"
강창일,진선미,1-10 / 283건
강창일,진성준,1-10 / 124건
강창일,최규성,1-10 / 411건
강창일,최동익,1-10 / 124건
강창일,최민희,1-10 / 219건
강창일,최재성,1-10 / 329건
강창일,최재천,1-10 / 325건
강창일,최원식,1-10 / 454건
강창일,추미애,1-10 / 257건
강창일,한명숙,1-10 / 132건
강창일,한정애,1-10 / 95건
강창일,홍영표,1-10 / 144건
강창일,홍의락,1-10 / 221건
강창일,홍익표,1-10 / 140건
강창일,홍종학,1-10 / 103건
강창일,황주홍,1-10 / 488건
권은희,김경협,1-10 / 99건
권은희,김관영,1-10 / 196건
권은희,김광진,1-10 / 288건
권은희,김기식,1-10 / 78건
권은희,김기준,1-10 / 123건
권은희,김동철,1-10 / 616건
권은희,김민기,1-10 / 89건
권은희,김상희,1-10 / 89건
권은희,김성곤,1-10 / 240건
권은희,김성주,1-10 / 191건
권은희,김승남,1-10 / 114건
권은희,김영록,1-10 / 558건
권은희,김영주,1-10 / 135건
권은희,김영환,1-10 / 179건
권은희,김용익,1-10 / 53건
권은희,김우남,1-10 / 67건
권은희,김윤덕,1-10 / 54건
권은희,김재윤,1-10 / 168건
권은희,김춘진,1-10 / 97건
권은희,김태년,1-10 / 126건
권은희,김한길,"1-10 / 2,129건"
권은희,김현,1-10 / 556건
권은희,김현미,1-10 / 102건
권은희,남인순,1-10 / 57건
권은희,노영민,1-10 / 61건
권은희,노웅래,1-10 / 258건
권은희,도종환,1-10 / 76건
권은희,문병호,1-10 / 631건
권은희,문재인,"1-10 / 2,889건"
권은희,문희상,1-10 / 620건
권은희,민병두,1-10 / 148건
권은희,민홍철,1-10 / 63건
권은희,박광온,1-10 / 894건
권은희,박기춘,1-10 / 159건
권은희,박남춘,1-10 / 136건
권은희,박민수,1-10 / 88건
권은희,박범계,1-10 / 662건
권은희,박병석,1-10 / 55건
권은희,박수현,1-10 / 427건
권은희,박완주,1-10 / 296건
권은희,박영선,"1-10 / 1,194건"
권은희,박주선,1-10 / 328건
권은희,박지원,1-10 / 818건
권은희,박혜자,1-10 / 531건
권은희,박홍근,1-10 / 87건
권은희,배재정,1-10 / 281건
권은희,백군기,1-10 / 278건
권은희,백재현,1-10 / 118건
권은희,변재일,1-10 / 89건
권은희,부좌현,1-10 / 144건
권은희,서영교,1-10 / 449건
권은희,설훈,1-10 / 291건
권은희,송호창,1-10 / 347건
권은희,신경민,1-10 / 288건
권은희,신계륜,1-10 / 147건
권은희,신기남,1-10 / 269건
권은희,신정훈,1-10 / 578건
권은희,신학용,1-10 / 177건
권은희,심재권,1-10 / 148건
권은희,안규백,1-10 / 276건
권은희,안민석,1-10 / 254건
권은희,안철수,"1-10 / 2,451건"
권은희,양승조,1-10 / 118건
권은희,오영식,1-10 / 149건
권은희,오제세,1-10 / 67건
권은희,우상호,1-10 / 291건
권은희,우원식,1-10 / 309건
권은희,우윤근,1-10 / 496건
권은희,원혜영,1-10 / 90건
권은희,유기홍,1-10 / 418건
권은희,유대운,1-10 / 64건
권은희,유성엽,1-10 / 339건
권은희,유승희,1-10 / 377건
